id;en-EN;it-IT;nb-NO
35;Can I have the menu, please?;Posso avere il menù, per favore?;Kan jeg få menyen, vær så snill?
36;What time is it?;Che ora è?;Hva er klokka?
37;How much does it cost?;Quanto costa?;Hvor mye koster det?
38;I would like to order.;Vorrei ordinare.;Jeg vil gjerne bestille.
39;I'm allergic to [ingredient].;Sono allergico/a a [ingrediente].;Jeg er allergisk mot [ingrediens].
40;Do you have any recommendations?;Hai qualche consiglio?;Har du noen anbefalinger?
41;Cheers!;Salute!;Skål!
42;Have a nice day!;Buona giornata!;Ha en fin dag!
43;Goodbye!;Arrivederci!;Ha det!
44;See you later!;Ci vediamo dopo!;Vi ses senere!
45;I love you.;Ti amo.;Jeg elsker deg.
46;I miss you.;Mi manchi.;Jeg savner deg.
47;Congratulations!;Congratulazioni!;Gratulerer!
48;Good luck!;Buona fortuna!;Lykke til!
49;Happy birthday!;Buon compleanno!;Gratulerer med dagen!
50;Merry Christmas!;Buon Natale!;God jul!
51;Happy New Year!;Felice anno nuovo!;Godt nytt år!
52;What's the weather like today?;Com'è il tempo oggi?;Hvordan er været i dag?
53;It's sunny.;È soleggiato.;Det er sol.
54;It's raining.;Sta piovendo.;Det regner.
55;It's hot.;Fa caldo.;Det er varmt.
56;It's cold.;Fa freddo.;Det er kaldt.
57;It's windy.;C'è vento.;Det blåser.
58;Can I have the bill, please?;Posso avere il conto, per favore?;Kan jeg få regningen, vær så snill?
59;Where can I find a taxi?;Dove posso trovare un taxi?;Hvor kan jeg finne en taxi?
60;Is there a pharmacy nearby?;C'è una farmacia nelle vicinanze?;Er det et apotek i nærheten?
61;Can you recommend a good restaurant?;Puoi consigliare un buon ristorante?;Kan du anbefale en god restaurant?
62;I'm looking for a hotel.;Sto cercando un hotel.;Jeg leter etter et hotell.
63;Can I have a glass of water, please?;Posso avere un bicchiere d'acqua, per favore?;Kan jeg få et glass vann, vær så snill?
64;How much is the ticket?;Quanto costa il biglietto?;Hvor mye koster billetten?
65;Where is the train station?;Dov'è la stazione ferroviaria?;Hvor er togstasjonen?
66;Is there a bank nearby?;C'è una banca nelle vicinanze?;Er det en bank i nærheten?
67;I'm sorry, I don't understand.;Mi dispiace, non capisco.;Beklager, jeg forstår ikke.
68;Could you please speak more slowly?;Potresti parlare più lentamente, per favore?;Kan du snakke litt saktere, vær så snill?
69;Can you write it down for me?;Puoi scriverlo per me?;Kan du skrive det ned for meg?
70;Do you accept credit cards?;Accettate carte di credito?;Tar dere imot kredittkort?
71;I would like to make a reservation.;Vorrei fare una prenotazione.;Jeg vil gjerne reservere.
72;What is the Wi-Fi password?;Qual è la password del Wi-Fi?;Hva er Wi-Fi-passordet?
73;Can I have a receipt, please?;Posso avere una ricevuta, per favore?;Kan jeg få en kvittering, vær så snill?
74;I have a reservation.;Ho una prenotazione.;Jeg har en reservasjon.
75;Is breakfast included?;La colazione è inclusa?;Er frokost inkludert?
76;What time is check-in/check-out?;A che ora si effettua il check-in/check-out?;Når er innsjekking/utsjekking?
77;Can I have an extra blanket/towel?;Posso avere una coperta/un asciugamano extra?;Kan jeg få et ekstra teppe/håndkle?
78;Is there a gym/swimming pool?;C'è una palestra/una piscina?;Er det et treningssenter/basseng?
79;Is there a restaurant in the hotel?;C'è un ristorante nell'hotel?;Er det en restaurant på hotellet?
80;Where can I find a taxi?;Dove posso trovare un taxi?;Hvor kan jeg finne en taxi?
81;Can you call a taxi for me?;Puoi chiamare un taxi per me?;Kan du ringe en taxi for meg?
82;I would like to rent a car.;Vorrei noleggiare una macchina.;Jeg vil gjerne leie en bil.
83;What is your phone number?;Qual è il tuo numero di telefono?;Hva er telefonnummeret ditt?
84;What is your email address?;Qual è il tuo indirizzo email?;Hva er e-postadressen din?
85;I need to see a doctor.;Devo vedere un medico.;Jeg trenger å se en lege.
86;I have an emergency.;Ho un'emergenza.;Jeg har en nødsituasjon.
87;Where is the nearest hospital?;Dov'è l'ospedale più vicino?;Hvor er nærmeste sykehus?
88;Can you recommend a good doctor?;Puoi consigliare un buon medico?;Kan du anbefale en god lege?
89;I lost my wallet.;Ho perso il portafoglio.;Jeg har mistet lommeboken min.
90;I need help.;Ho bisogno di aiuto.;Jeg trenger hjelp.
91;Can you speak more slowly?;Puoi parlare più lentamente?;Kan du snakke litt saktere?
92;Can you help me with this?;Puoi aiutarmi con questo?;Kan du hjelpe meg med dette?
93;I don't know.;Non lo so.;Jeg vet ikke.
94;I'm sorry, I made a mistake.;Mi scuso, ho fatto un errore.;Beklager, jeg gjorde en feil.
95;Can you show me on the map?;Puoi mostrarmelo sulla mappa?;Kan du vise meg på kartet?
96;I'm looking for [place].;Sto cercando [luogo].;Jeg leter etter [sted].
97;Is it far from here?;È lontano da qui?;Er det langt herfra?
98;How can I get to [place]?;Come posso arrivare a [luogo]?;Hvordan kan jeg komme til [sted]?
99;I'm sorry, I don't have cash.;Mi dispiace, non ho contanti.;Beklager, jeg har ikke kontanter.
100;Can I pay by credit card?;Posso pagare con la carta di credito?;Kan jeg betale med kredittkort?
101;Are there any discounts available?;Ci sono sconti disponibili?;Er det noen rabatter tilgjengelig?
102;I'm here on vacation.;Sono qui in vacanza.;Jeg er her på ferie.
103;I'm here for business.;Sono qui per lavoro.;Jeg er her i forbindelse med jobb.
104;Can you recommend a good place to eat?;Puoi consigliare un buon posto dove mangiare?;Kan du anbefale et godt sted å spise?
105;I would like to buy [item].;Vorrei comprare [oggetto].;Jeg vil gjerne kjøpe [gjenstand].
106;Do you have it in a different color/size?;Lo hai in un colore/una taglia diversa?;Har du det i en annen farge/størrelse?
107;Can I try it on?;Posso provarlo?;Kan jeg prøve det?
108;It's too expensive.;È troppo caro.;Det er for dyrt.
109;Can you give me a discount?;Puoi farmi uno sconto?;Kan du gi meg en rabatt?
110;I'm just looking, thank you.;Sto solo guardando, grazie.;Jeg ser bare, takk.
111;What is the exchange rate?;Qual è il tasso di cambio?;Hva er vekslingskursen?
112;Do you have a map?;Hai una mappa?;Har du et kart?
113;Is there a tourist information center?;C'è un centro informazioni turistiche?;Er det et turistinformasjonssenter?
114;Can you recommend any tourist attractions?;Puoi consigliare qualche attrazione turistica?;Kan du anbefale noen turistattraksjoner?
115;Can I take a picture?;Posso fare una foto?;Kan jeg ta et bilde?
116;Is it safe here?;È sicuro qui?;Er det trygt her?
117;Can you recommend a good place to visit?;Puoi consigliare un bel posto da visitare?;Kan du anbefale et fint sted å besøke?
118;Is there a famous landmark nearby?;C'è un punto di riferimento famoso nelle vicinanze?;Er det en kjent landemerke i nærheten?
119;Is there a museum/art gallery nearby?;C'è un museo/una galleria d'arte nelle vicinanze?;Er det et museum/kunstgalleri i nærheten?
120;I would like to book a guided tour.;Vorrei prenotare un tour guidato.;Jeg vil gjerne bestille en guidet tur.
121;Can you recommend a good guide?;Puoi consigliare una buona guida?;Kan du anbefale en god guide?
122;I'm interested in history/art/culture.;Sono interessato/a alla storia/all'arte/alla cultura.;Jeg er interessert i historie/kunst/kultur.
123;Can you tell me more about it?;Puoi dirmi di più?;Kan du fortelle meg mer om det?
124;I'm here to learn the language.;Sono qui per imparare la lingua.;Jeg er her for å lære språket.
125;Can you teach me some basic phrases?;Puoi insegnarmi alcune frasi di base?;Kan du lære meg noen grunnleggende fraser?
126;I'm sorry, I don't speak the language well.;Mi dispiace, non parlo bene la lingua.;Beklager, jeg snakker ikke språket godt.
127;Can you speak English?;Parli inglese?;Snakker du engelsk?
128;I'm trying to improve my pronunciation.;Sto cercando di migliorare la pronuncia.;Jeg prøver å forbedre uttalen min.
129;Can you correct my pronunciation?;Puoi correggere la mia pronuncia?;Kan du rette uttalen min?
130;I don't understand the meaning.;Non capisco il significato.;Jeg forstår ikke betydningen.
131;Can you explain it to me?;Puoi spiegarmelo?;Kan du forklare det for meg?
132;I'm sorry, I didn't catch that.;Mi scusi, non ho capito.;Beklager, jeg fikk det ikke med meg.
133;Can you repeat that, please?;Puoi ripetere, per favore?;Kan du gjenta det, vær så snill?
134;What does [word/phrase] mean?;Cosa significa [parola/frase]?;Hva betyr [ord/uttrykk]?
135;Can you write it down for me?;Puoi scriverlo per me?;Kan du skrive det ned for meg?
136;Is there a language school/course available?;C'è una scuola di lingue/un corso disponibile?;Er det en språkskole/kurs tilgjengelig?
137;Can you recommend a good language teacher?;Puoi consigliare un buon insegnante di lingue?;Kan du anbefale en god språklærer?
138;I would like to practice speaking.;Vorrei esercitarmi a parlare.;Jeg vil gjerne øve på å snakke.
139;What is the cost of the course?;Qual è il costo del corso?;Hva er prisen på kurset?
140;How long does the course last?;Quanto dura il corso?;Hvor lenge varer kurset?
141;Can I have a brochure/catalog?;Posso avere un depliant/catalogo?;Kan jeg få en brosjyre/katalog?
142;Is there a library nearby?;C'è una biblioteca nelle vicinanze?;Er det et bibliotek i nærheten?
143;Can I borrow this book?;Posso prendere in prestito questo libro?;Kan jeg låne denne boken?
144;Is there a quiet place to study?;C'è un posto tranquillo per studiare?;Er det et rolig sted å studere?
145;I'm a beginner/intermediate/advanced learner.;Sono un principiante/un intermedio/un avanzato.;Jeg er en nybegynner/viderekommen/avansert student.
146;Can you recommend any language learning apps?;Puoi consigliare qualche app per l'apprendimento delle lingue?;Kan du anbefale noen språklæringsapper?
147;I need a translator.;Ho bisogno di un traduttore.;Jeg trenger en oversetter.
148;Can you translate this for me?;Puoi tradurlo per me?;Kan du oversette dette for meg?
149;Thank you for your help.;Grazie per l'aiuto.;Takk for hjelpen.
