id;en-EN;it-IT;nb-NO;es-ES
33;What was your favorite subject in school?;Qual era la tua materia preferita a scuola?;Hva var ditt favorittfag på skolen?;¿Cuál era tu materia favorita en la escuela?
34;What's your dream job?;Qual è il tuo lavoro dei sogni?;Hva er drømmejobben din?;¿Cuál es tu trabajo soñado?
35;What's your favorite season?;Qual è la tua stagione preferita?;Hva er din favorittsesong?;¿Cuál es tu estación favorita?
36;Are you a cat or dog person?;Sei una persona da gatti o da cani?;Er du en katt eller hund person?;¿Eres más de gatos o de perros?
37;Do you have any pets?;Hai animali domestici?;Har du kjæledyr?;¿Tienes mascotas?
38;What's your favorite kind of movie?;Qual è il tuo genere di film preferito?;Hva er din favoritt type film?;¿Cuál es tu tipo de película favorito?
39;What's your favorite color?;Qual è il tuo colore preferito?;Hva er din favorittfarge?;¿Cuál es tu color favorito?
40;Where were you born?;Dove sei nato/a?;Hvor ble du født?;¿Dónde naciste?
41;If you could have any superpower, what would it be?;Se potessi avere un superpotere, quale sarebbe?;Hvis du kunne ha en superkraft, hva ville det være?;Si pudieras tener cualquier superpoder, ¿cuál sería?
42;What's the most spontaneous thing you've ever done?;Qual è la cosa più spontanea che tu abbia mai fatto?;Hva er det mest spontane du noen gang har gjort?;¿Cuál es lo más espontáneo que has hecho?
43;What do you like most about your family?;Cosa ti piace di più della tua famiglia?;Hva liker du best med familien din?;¿Qué es lo que más te gusta de tu familia?
44;If you could invite three people, dead or alive, to dinner, who would they be?;Se potessi invitare tre persone, vive o morte, a cena, chi sarebbero?;Hvis du kunne invitere tre personer, døde eller levende, til middag, hvem ville det være?;Si pudieras invitar a tres personas, vivas o muertas, a cenar, ¿quiénes serían?
45;You have a wonderful sense of humor.;Hai un meraviglioso senso dell'umorismo.;Du har en fantastisk humor.;Tienes un maravilloso sentido del humor.
46;What's your dream vacation?;Qual è la tua vacanza da sogno?;Hva er drømmeferien din?;¿Cuál es tu vacación soñada?
47;What's your favorite thing about this city?;Qual è la cosa che ti piace di più di questa città?;Hva er din favoritt ting med denne byen?;¿Qué es lo que más te gusta de esta ciudad?
48;Do you like to cook?;Ti piace cucinare?;Liker du å lage mat?;¿Te gusta cocinar?
49;What's your favorite sport?;Qual è il tuo sport preferito?;Hva er din favorittsport?;¿Cuál es tu deporte favorito?
50;You have a wonderful sense of humor.;Hai un meraviglioso senso dell'umorismo.;Du har en fantastisk sans for humor.;Tienes un maravilloso sentido del humor.
